date,cvar_historical,mv_historical,cvar_mbb,mv_mbb,ew
2023-12-15,"[0.3499999999944334, 0.1675778498746679, 4.0243546083344595e-12, 0.1324221501310162, 0.34999999999585835]","[0.26740870977479764, 0.3499996988035912, 2.375716282743501e-07, 0.03259142507188815, 0.34999992877809494]","[0.34999999998270864, 0.26171651016121183, 1.3682235592915971e-11, 0.03828348985260867, 0.3499999999897887]","[0.3195977364475004, 0.3304033423736643, 1.91486373324929e-06, 7.465169133166187e-07, 0.3499962597981889]",[0.2 0.2 0.2 0.2 0.2]
2023-12-22,"[0.3499999999984277, 0.30000000000727917, 4.278286570265422e-13, 5.233295824773046e-13, 0.34999999999334214]","[0.34999787384072717, 0.3000050433351612, 2.7001038301488325e-07, 1.9918280222220886e-07, 0.3499966136309265]","[0.3499999999967133, 0.3000000000050008, 4.000160189503063e-13, 2.2469471198354964e-12, 0.34999999999563886]","[0.34999935652163633, 0.30000029402561673, 6.623354957528532e-07, 8.292884138998991e-07, 0.3499988578288372]",[0.2 0.2 0.2 0.2 0.2]
2023-12-29,"[0.34999999998954706, 0.3000000000961897, 3.2620632688638385e-13, 1.6869895596382293e-11, 0.3499999998970673]","[0.3499980893202611, 0.30000775432737925, 2.1100166961487786e-07, 3.125376731329464e-07, 0.3499936328130171]","[0.34999999999972853, 0.2999999999993198, 2.5887116536769014e-13, 1.1798791069153835e-12, 0.34999999999951314]","[0.34999953257232286, 0.30000054360242845, 5.003012116112752e-07, 2.0328271619563995e-07, 0.349999220241321]",[0.2 0.2 0.2 0.2 0.2]
2024-01-05,"[0.34999999989817776, 0.2999999997713812, 1.5419126083336007e-11, 3.329441523710855e-10, 0.34999999998207776]","[0.3499998469398106, 0.30000033642428153, 2.8633796181168768e-08, 2.0953075115615233e-08, 0.34999976704903657]","[0.3499999998448743, 0.3000000002327666, 1.3225699815606682e-11, 1.92607651777678e-11, 0.34999999988987285]","[0.34999909881887425, 0.30000181942366533, 6.551746919302506e-08, 1.1282167166163227e-07, 0.3499989034183196]",[0.2 0.2 0.2 0.2 0.2]
2024-01-12,"[0.3499999999951371, 0.30000000000619664, 5.928622594658433e-13, 1.3813576365377486e-12, 0.3499999999966921]","[0.34999646366189546, 0.3000079274337816, 6.775592339030788e-07, 4.059302850766239e-07, 0.34999452541480397]","[0.3499999999976252, 0.299999999997478, 2.1985613969672155e-13, 5.482682444175244e-12, 0.34999999999919423]","[0.3499998712779791, 0.30000000908639296, 1.530181681809709e-07, 5.087908429060963e-08, 0.3499999157383752]",[0.2 0.2 0.2 0.2 0.2]
2024-01-19,"[0.34999999999650033, 0.11118550908973275, 4.071459668735212e-12, 0.18881449091273228, 0.34999999999696335]","[0.24338357733192903, 0.34999957778702384, 7.563405683051564e-08, 0.05661680690886568, 0.3499999623381247]","[0.34999999998659825, 0.3000000000366633, 1.4850440145342187e-12, -4.20587240045989e-13, 0.34999999997567405]","[0.34999807807342787, 0.30000396647531835, 1.0882824460526042e-06, 5.493232806120609e-07, 0.34999631784552726]",[0.2 0.2 0.2 0.2 0.2]
2024-01-26,"[0.34999999999942155, 0.2999999999954698, 1.0217101241943631e-13, 6.820901009258431e-12, 0.3499999999981859]","[0.34998402332811146, 0.30004221772895634, 6.114658922741075e-07, 9.15995090608986e-07, 0.34997223148194934]","[0.349999999998582, 0.29999999989322507, 1.2813340555530303e-12, 1.0969970818181159e-10, 0.3499999999972117]","[0.349999604158943, 0.29999972586240375, 7.848182360893498e-07, 1.6577558103481062e-07, 0.3499997193848363]",[0.2 0.2 0.2 0.2 0.2]
2024-02-02,"[0.34999999999572273, 0.3000000000012864, 5.575320186397339e-13, 4.337116917278621e-12, 0.3499999999980962]","[0.3499974896147949, 0.29999799495714363, 4.209603175472676e-06, 1.1555900621549293e-06, 0.3499991502348241]","[0.34999999999824255, 0.30000000000484717, 8.174287840722568e-13, 2.3890679792043225e-12, 0.3499999999937038]","[0.3499993126213006, 0.30000005470405977, 5.100148258213201e-07, 1.1633722289963028e-06, 0.3499989592875848]",[0.2 0.2 0.2 0.2 0.2]
2024-02-09,"[0.3499999999792974, 0.3000000000068729, 1.0554195428760167e-11, 2.115285401020307e-11, 0.349999999982123]","[0.34999922156706825, 0.3000008540284959, 7.88312735788116e-07, 2.631319980454456e-07, 0.3499988729597021]","[0.3499999999902061, 0.30000000000230553, 2.2891506939996405e-12, 1.3582044150969834e-11, 0.34999999999161746]","[0.3499997601466544, 0.29999979084778017, 5.299062840564504e-07, 8.100307438035762e-08, 0.34999983809620716]",[0.2 0.2 0.2 0.2 0.2]
2024-02-16,"[0.3499999998875435, 0.30000000017044337, 2.4862225360846404e-12, 4.702386811751717e-12, 0.34999999993482456]","[0.3499993959151587, 0.3000002371219141, 7.459977602447048e-07, 2.0392495307162909e-07, 0.349999417040214]","[0.34999999998290676, 0.30000000007148503, 1.2592906729014088e-11, 3.9987591072625916e-11, 0.34999999989302794]","[0.34999945818577116, 0.30000026768267607, 7.794171458335447e-07, 2.692135029037588e-07, 0.34999922550090407]",[0.2 0.2 0.2 0.2 0.2]
